№ п.п.;Тип ЗРИ;Изготовитель (сокращенное наименование);Изготовитель код ОКПО;Вид излучения;Информация о радионуклиде в составе ЗРИ;;;;;;;;Категория потенциальной опасности ЗРИ ;;Минимальная активность;Максимальная активность;НСС, лет;Чертеж (изображение);Класс прочности ;;Размеры,мм;;;;;;;;;;Дополнительная информация;;;;;;Тип капсулы, модель
913;ИБН-8-6;"ФГУП ""ПО Маяк""";07622740;нейтронное;плутоний-239;Pu-239;нейтронное;24110;лет;1;1000000;0,06;3;нет;;4,8E+11;10;;ИСО «/99/С 65546»;ГОСТ Р 52241 (ИСО 2919);;;25;;21;;;;;;Двойная капсула, изготовленная из коррозионно-стойкой стали, с активной частью в виде таблетки из интерметаллического соединения диоксида плутония с радионуклидом плутоний-238 и порошка бериллия. Наружные и внутренние капсулы герметизируются аргонодуговой сваркой.;Радиоизотопная аппаратура для исследования горных пород и сыпучих материалов, для автоматического дистанционного контроля влажности материалов при обогащении руд;Поток быстрых нейтронов в телесный угол 4? ср, (2,00±0,40)·107  с-1;"Конструкции источников сертифицированы на радиоактивный материал особого вида. Контроль герметичности производится в соответствии с ГОСТ Р 51919 (ИСО 9978): а) вакуумно-пузырьковым методом, предел прохождения – отсутствие пузырьков; б) гелиевым методом, предел прохождения – 1,0 см3 ?Па·с-1.";;;
914;ИБН-8-7;"ФГУП ""ПО Маяк""";07622740;нейтронное;плутоний-239;Pu-239;нейтронное;24110;лет;1;1000000;0,06;2;нет;;1,2E+12;5;;ИСО «/99/С 65546»;ГОСТ Р 52241 (ИСО 2919);;;40;;19,5;;;;;;Двойная капсула, изготовленная из коррозионно-стойкой стали, с активной частью в виде таблетки из интерметаллического соединения диоксида плутония с радионуклидом плутоний-238 и порошка бериллия. Наружные и внутренние капсулы герметизируются аргонодуговой сваркой.;Радиоизотопная аппаратура для исследования горных пород и сыпучих материалов, для автоматического дистанционного контроля влажности материалов при обогащении руд;Поток быстрых нейтронов в телесный угол 4? ср, (5,00±1,00)·107 с-1;"Конструкции источников сертифицированы на радиоактивный материал особого вида. Контроль герметичности производится в соответствии с ГОСТ Р 51919 (ИСО 9978): а) вакуумно-пузырьковым методом, предел прохождения – отсутствие пузырьков; б) гелиевым методом, предел прохождения – 1,0 см3 ?Па·с-1.";;;
915;ИБН-8-8;"ФГУП ""ПО Маяк""";07622740;нейтронное;плутоний-239;Pu-239;нейтронное;24110;лет;1;1000000;0,06;2;нет;;1,2E+12;5;;ИСО «/99/С 65546»;ГОСТ Р 52241 (ИСО 2919);;;30;;24;;;;;;Двойная капсула, изготовленная из коррозионно-стойкой стали, с активной частью в виде таблетки из интерметаллического соединения диоксида плутония с радионуклидом плутоний-238 и порошка бериллия. Наружные и внутренние капсулы герметизируются аргонодуговой сваркой.;Радиоизотопная аппаратура для исследования горных пород и сыпучих материалов, для автоматического дистанционного контроля влажности материалов при обогащении руд;Поток быстрых нейтронов в телесный угол 4? ср, (5,00±1,00)·107 с-1;"Конструкции источников сертифицированы на радиоактивный материал особого вида. Контроль герметичности производится в соответствии с ГОСТ Р 51919 (ИСО 9978): а) вакуумно-пузырьковым методом, предел прохождения – отсутствие пузырьков; б) гелиевым методом, предел прохождения – 1,0 см3 ?Па·с-1.";;;
916;ИБН-8-9;"ФГУП ""ПО Маяк""";07622740;нейтронное;плутоний-239;Pu-239;нейтронное;24110;лет;1;1000000;0,06;2;нет;;1,2E+12;5;;ИСО «/99/С 65546»;ГОСТ Р 52241 (ИСО 2919);;;24;;30;;;;;;Двойная капсула, изготовленная из коррозионно-стойкой стали, с активной частью в виде таблетки из интерметаллического соединения диоксида плутония с радионуклидом плутоний-238 и порошка бериллия. Наружные и внутренние капсулы герметизируются аргонодуговой сваркой.;Радиоизотопная аппаратура для исследования горных пород и сыпучих материалов, для автоматического дистанционного контроля влажности материалов при обогащении руд;Поток быстрых нейтронов в телесный угол 4? ср, (5,00±1,00)·107 с-1;"Конструкции источников сертифицированы на радиоактивный материал особого вида. Контроль герметичности производится в соответствии с ГОСТ Р 51919 (ИСО 9978): а) вакуумно-пузырьковым методом, предел прохождения – отсутствие пузырьков; б) гелиевым методом, предел прохождения – 1,0 см3 ?Па·с-1.";;;
917;ИБН-8-156;"ФГУП ""ПО Маяк""";07622740;нейтронное;плутоний-239;Pu-239;нейтронное;24110;лет;1;1000000;0,06;4;нет;;24000000000;5;;ИСО «/99/С 65545»;ГОСТ Р 52241 (ИСО 2919);;;10;;10;;;;;;Двойная капсула, изготовленная из коррозионно-стойкой стали, с активной частью в виде таблетки из интерметаллического соединения диоксида плутония с радионуклидом плутоний-238 и порошка бериллия. Наружные и внутренние капсулы герметизируются аргонодуговой сваркой.;Радиоизотопная аппаратура для исследования горных пород и сыпучих материалов, для автоматического дистанционного контроля влажности материалов при обогащении руд;Поток быстрых нейтронов в телесный угол 4? ср, (1,50±0,50)·106 с-1;"Конструкции источников сертифицированы на радиоактивный материал особого вида. Контроль герметичности производится в соответствии с ГОСТ Р 51919 (ИСО 9978): а) вакуумно-пузырьковым методом, предел прохождения – отсутствие пузырьков; б) гелиевым методом, предел прохождения – 1,0 см3 ?Па·с-1.";;;
918;ИБН-8-556;"ФГУП ""ПО Маяк""";07622740;нейтронное;плутоний-239;Pu-239;нейтронное;24110;лет;1;1000000;0,06;3;нет;;1,24E+11;5;;ИСО «/99/Е 65545»;ГОСТ Р 52241 (ИСО 2919);;;20;;10;;;;;;Двойная капсула, изготовленная из коррозионно-стойкой стали, с активной частью в виде таблетки из интерметаллического соединения диоксида плутония с радионуклидом плутоний-238 и порошка бериллия. Наружные и внутренние капсулы герметизируются аргонодуговой сваркой.;Радиоизотопная аппаратура для исследования горных пород и сыпучих материалов, для автоматического дистанционного контроля влажности материалов при обогащении руд;Поток быстрых нейтронов в телесный угол 4? ср, (5,50±0,50)·106 с-1;"Конструкции источников сертифицированы на радиоактивный материал особого вида. Контроль герметичности производится в соответствии с ГОСТ Р 51919 (ИСО 9978): а) вакуумно-пузырьковым методом, предел прохождения – отсутствие пузырьков; б) гелиевым методом, предел прохождения – 1,0 см3 ?Па·с-1.";;;
919;ИБН-8-157;"ФГУП ""ПО Маяк""";07622740;нейтронное;плутоний-239;Pu-239;нейтронное;24110;лет;1;1000000;0,06;3;нет;;4,8E+11;5;;ИСО «/99/Е 65545»;ГОСТ Р 52241 (ИСО 2919);;;35;;10;;;;;;Двойная капсула, изготовленная из коррозионно-стойкой стали, с активной частью в виде таблетки из интерметаллического соединения диоксида плутония с радионуклидом плутоний-238 и порошка бериллия. Наружные и внутренние капсулы герметизируются аргонодуговой сваркой.;Радиоизотопная аппаратура для исследования горных пород и сыпучих материалов, для автоматического дистанционного контроля влажности материалов при обогащении руд;Поток быстрых нейтронов в телесный угол 4? ср, (1,50±0,50)·107 с-1;"Конструкции источников сертифицированы на радиоактивный материал особого вида. Контроль герметичности производится в соответствии с ГОСТ Р 51919 (ИСО 9978): а) вакуумно-пузырьковым методом, предел прохождения – отсутствие пузырьков; б) гелиевым методом, предел прохождения – 1,0 см3 ?Па·с-1.";;;
920;ИБН-241-1-1;"ФГУП ""ПО Маяк""";07622740;нейтронное;америций-241;Am-241;нейтронное;432,6;лет;1;10000;0,06;4;нет;;2400000000;10;;ИСО «/99/С 65546»;ГОСТ Р 52241 (ИСО 2919);;;13;;10;;;;;;Двойная капсула, изготовленная из коррозионно-стойкой стали, с активной частью в виде таблетки из интерметаллического соединения диоксида америция с радионуклидом америций-241 и порошка бериллия;Радиоизотопные приборы;Поток быстрых нейтронов в телесный угол 4? ср, (1,00±0,20)·105 с-1;"Конструкции источников сертифицированы на радиоактивный материал особого вида. Контроль герметичности производится в соответствии с ГОСТ Р 51919 (ИСО 9978): а) вакуумно-пузырьковым методом, предел прохождения – отсутствие пузырьков; б) методом с опрессовкой гелием, предел прохождения – 1,0 см3 ·Па·с -1.";;"Каталог ФГУП ""ПО Маяк""";
921;ИБН-241-2-1;"ФГУП ""ПО Маяк""";07622740;нейтронное;америций-241;Am-241;нейтронное;432,6;лет;1;10000;0,06;4;нет;;4800000000;10;;ИСО «/99/С 65546»;ГОСТ Р 52241 (ИСО 2919);;;16;;12;;;;;;Двойная капсула, изготовленная из коррозионно-стойкой стали, с активной частью в виде таблетки из интерметаллического соединения диоксида америция с радионуклидом америций-241 и порошка бериллия;Радиоизотопные приборы;Поток быстрых нейтронов в телесный угол 4? ср, (2,00±0,40)·105 с-1;"Конструкции источников сертифицированы на радиоактивный материал особого вида. Контроль герметичности производится в соответствии с ГОСТ Р 51919 (ИСО 9978): а) вакуумно-пузырьковым методом, предел прохождения – отсутствие пузырьков; б) методом с опрессовкой гелием, предел прохождения – 1,0 см3 ·Па·с -1.";;"Каталог ФГУП ""ПО Маяк""";
922;ИБН-241-2-2;"ФГУП ""ПО Маяк""";07622740;нейтронное;америций-241;Am-241;нейтронное;432,6;лет;1;10000;0,06;4;нет;;12000000000;10;;ИСО «/99/С 65546»;ГОСТ Р 52241 (ИСО 2919);;;16;;12;;;;;;Двойная капсула, изготовленная из коррозионно-стойкой стали, с активной частью в виде таблетки из интерметаллического соединения диоксида америция с радионуклидом америций-241 и порошка бериллия;Радиоизотопные приборы;Поток быстрых нейтронов в телесный угол 4? ср, (5,00±1,00)·105 с-1;"Конструкции источников сертифицированы на радиоактивный материал особого вида. Контроль герметичности производится в соответствии с ГОСТ Р 51919 (ИСО 9978): а) вакуумно-пузырьковым методом, предел прохождения – отсутствие пузырьков; б) методом с опрессовкой гелием, предел прохождения – 1,0 см3 ·Па·с -1.";;"Каталог ФГУП ""ПО Маяк""";
923;ИБН-241-4-1;"ФГУП ""ПО Маяк""";07622740;нейтронное;америций-241;Am-241;нейтронное;432,6;лет;1;10000;0,06;4;нет;;24000000000;10;;ИСО «/99/С 65546»;ГОСТ Р 52241 (ИСО 2919);;;18;;15;;;;;;Двойная капсула, изготовленная из коррозионно-стойкой стали, с активной частью в виде таблетки из интерметаллического соединения диоксида америция с радионуклидом америций-241 и порошка бериллия;Радиоизотопные приборы;Поток быстрых нейтронов в телесный угол 4? ср, (1,00±0,20)·106 с-1;"Конструкции источников сертифицированы на радиоактивный материал особого вида. Контроль герметичности производится в соответствии с ГОСТ Р 51919 (ИСО 9978): а) вакуумно-пузырьковым методом, предел прохождения – отсутствие пузырьков; б) методом с опрессовкой гелием, предел прохождения – 1,0 см3 ·Па·с -1.";;"Каталог ФГУП ""ПО Маяк""";
924;ИБН-241-5-1;"ФГУП ""ПО Маяк""";07622740;нейтронное;америций-241;Am-241;нейтронное;432,6;лет;1;10000;0,06;4;нет;;48000000000;10;;ИСО «/99/С 65546»;ГОСТ Р 52241 (ИСО 2919);;;20;;15;;;;;;Двойная капсула, изготовленная из коррозионно-стойкой стали, с активной частью в виде таблетки из интерметаллического соединения диоксида америция с радионуклидом америций-241 и порошка бериллия;Радиоизотопные приборы;Поток быстрых нейтронов в телесный угол 4? ср, (2,00±0,40)·106 с-1;"Конструкции источников сертифицированы на радиоактивный материал особого вида. Контроль герметичности производится в соответствии с ГОСТ Р 51919 (ИСО 9978): а) вакуумно-пузырьковым методом, предел прохождения – отсутствие пузырьков; б) методом с опрессовкой гелием, предел прохождения – 1,0 см3 ·Па·с -1.";;"Каталог ФГУП ""ПО Маяк""";
925;ИБН-241-6-1;"ФГУП ""ПО Маяк""";07622740;нейтронное;америций-241;Am-241;нейтронное;432,6;лет;1;10000;0,06;3;нет;;1,2E+11;10;;ИСО «/99/Е 65546»;ГОСТ Р 52241 (ИСО 2919);;;22;;18;;;;;;Двойная капсула, изготовленная из коррозионно-стойкой стали, с активной частью в виде таблетки из интерметаллического соединения диоксида америция с радионуклидом америций-241 и порошка бериллия;Радиоизотопные приборы;Поток быстрых нейтронов в телесный угол 4? ср, (5,00±1,00)·106 с-1;"Конструкции источников сертифицированы на радиоактивный материал особого вида. Контроль герметичности производится в соответствии с ГОСТ Р 51919 (ИСО 9978): а) вакуумно-пузырьковым методом, предел прохождения – отсутствие пузырьков; б) методом с опрессовкой гелием, предел прохождения – 1,0 см3 ·Па·с -1.";;"Каталог ФГУП ""ПО Маяк""";
926;ИБН-241-7-1;"ФГУП ""ПО Маяк""";07622740;нейтронное;америций-241;Am-241;нейтронное;432,6;лет;1;10000;0,06;3;нет;;2,4E+11;10;;ИСО «/99/Е 65546»;ГОСТ Р 52241 (ИСО 2919);;;25;;21;;;;;;Двойная капсула, изготовленная из коррозионно-стойкой стали, с активной частью в виде таблетки из интерметаллического соединения диоксида америция с радионуклидом америций-241 и порошка бериллия;Радиоизотопные приборы;Поток быстрых нейтронов в телесный угол 4? ср, (1,00±0,20)·107 с-1;"Конструкции источников сертифицированы на радиоактивный материал особого вида. Контроль герметичности производится в соответствии с ГОСТ Р 51919 (ИСО 9978): а) вакуумно-пузырьковым методом, предел прохождения – отсутствие пузырьков; б) методом с опрессовкой гелием, предел прохождения – 1,0 см3 ·Па·с -1.";;"Каталог ФГУП ""ПО Маяк""";
927;ИБН-241-В-1;"ФГУП ""ПО Маяк""";07622740;нейтронное;америций-241;Am-241;нейтронное;432,6;лет;1;10000;0,06;3;нет;;1,2E+11;10;;ИСО «/99/Е 65546»;ГОСТ Р 52241 (ИСО 2919);;;46;;25;;;;;;Двойная капсула, изготовленная из коррозионно-стойкой стали, с активной частью в виде таблетки из интерметаллического соединения диоксида америция с радионуклидом америций-241 и порошка бериллия;Радиоизотопные приборы;Поток быстрых нейтронов в телесный угол 4? ср, (5,60±0,56)·106 с-1;"Конструкции источников сертифицированы на радиоактивный материал особого вида. Контроль герметичности производится в соответствии с ГОСТ Р 51919 (ИСО 9978): а) вакуумно-пузырьковым методом, предел прохождения – отсутствие пузырьков; б) методом с опрессовкой гелием, предел прохождения – 1,0 см3 ·Па·с -1.";;"Каталог ФГУП ""ПО Маяк""";
928;ИБН-241-В-2;"ФГУП ""ПО Маяк""";07622740;нейтронное;америций-241;Am-241;нейтронное;432,6;лет;1;10000;0,06;3;нет;;2E+11;10;;ИСО «/99/Е 65546»;ГОСТ Р 52241 (ИСО 2919);;;46;;25;;;;;;Двойная капсула, изготовленная из коррозионно-стойкой стали, с активной частью в виде таблетки из интерметаллического соединения диоксида америция с радионуклидом америций-241 и порошка бериллия;Радиоизотопные приборы;Поток быстрых нейтронов в телесный угол 4? ср, (9,3±0,9)·106 с-1;"Конструкции источников сертифицированы на радиоактивный материал особого вида. Контроль герметичности производится в соответствии с ГОСТ Р 51919 (ИСО 9978): а) вакуумно-пузырьковым методом, предел прохождения – отсутствие пузырьков; б) методом с опрессовкой гелием, предел прохождения – 1,0 см3 ·Па·с -1.";;"Каталог ФГУП ""ПО Маяк""";
929;ИБН-241-В-3;"ФГУП ""ПО Маяк""";07622740;нейтронное;америций-241;Am-241;нейтронное;432,6;лет;1;10000;0,06;3;нет;;2,4E+11;10;;ИСО «/99/Е 65546»;ГОСТ Р 52241 (ИСО 2919);;;46;;25;;;;;;Двойная капсула, изготовленная из коррозионно-стойкой стали, с активной частью в виде таблетки из интерметаллического соединения диоксида америция с радионуклидом америций-241 и порошка бериллия;Радиоизотопные приборы;Поток быстрых нейтронов в телесный угол 4? ср, (1,10±0,11)·107 с-1;"Конструкции источников сертифицированы на радиоактивный материал особого вида. Контроль герметичности производится в соответствии с ГОСТ Р 51919 (ИСО 9978): а) вакуумно-пузырьковым методом, предел прохождения – отсутствие пузырьков; б) методом с опрессовкой гелием, предел прохождения – 1,0 см3 ·Па·с -1.";;"Каталог ФГУП ""ПО Маяк""";
930;ИБН-241-В1-1;"ФГУП ""ПО Маяк""";07622740;нейтронное;америций-241;Am-241;нейтронное;432,6;лет;1;10000;0,06;3;нет;;2,4E+11;10;;ИСО «/99/Е 65546»;ГОСТ Р 52241 (ИСО 2919);;;45;;35;;;;;;Двойная капсула, изготовленная из коррозионно-стойкой стали, с активной частью в виде таблетки из интерметаллического соединения диоксида америция с радионуклидом америций-241 и порошка бериллия;Радиоизотопные приборы;Поток быстрых нейтронов в телесный угол 4? ср, (1,10±0,11)·107 с-1;"Конструкции источников сертифицированы на радиоактивный материал особого вида. Контроль герметичности производится в соответствии с ГОСТ Р 51919 (ИСО 9978): а) вакуумно-пузырьковым методом, предел прохождения – отсутствие пузырьков; б) методом с опрессовкой гелием, предел прохождения – 1,0 см3 ·Па·с -1.";;"Каталог ФГУП ""ПО Маяк""";
931;ИБН-241-К-1;"ФГУП ""ПО Маяк""";07622740;нейтронное;америций-241;Am-241;нейтронное;432,6;лет;1;10000;0,06;3;нет;;4,4E+11;10;;ИСО «/99/Е 65546»;ГОСТ Р 52241 (ИСО 2919);;;56,5;;50,5;;;;;;Двойная капсула, изготовленная из коррозионно-стойкой стали, с активной частью в виде таблетки из интерметаллического соединения диоксида америция с радионуклидом америций-241 и порошка бериллия;Радиоизотопные приборы;Поток быстрых нейтронов в телесный угол 4? ср, (1,70±0,50)·107 с-1;"Конструкции источников сертифицированы на радиоактивный материал особого вида. Контроль герметичности производится в соответствии с ГОСТ Р 51919 (ИСО 9978): а) вакуумно-пузырьковым методом, предел прохождения – отсутствие пузырьков; б) методом с опрессовкой гелием, предел прохождения – 1,0 см3 ·Па·с -1.";;"Каталог ФГУП ""ПО Маяк""";
932;ИБН-241-К-2;"ФГУП ""ПО Маяк""";07622740;нейтронное;америций-241;Am-241;нейтронное;432,6;лет;1;10000;0,06;2;нет;;9,6E+11;10;;ИСО «/99/Е 65546»;ГОСТ Р 52241 (ИСО 2919);;;56,5;;50,5;;;;;;Двойная капсула, изготовленная из коррозионно-стойкой стали, с активной частью в виде таблетки из интерметаллического соединения диоксида америция с радионуклидом америций-241 и порошка бериллия;Радиоизотопные приборы;Поток быстрых нейтронов в телесный угол 4? ср, (4,00±0,70)·107 с-1;"Конструкции источников сертифицированы на радиоактивный материал особого вида. Контроль герметичности производится в соответствии с ГОСТ Р 51919 (ИСО 9978): а) вакуумно-пузырьковым методом, предел прохождения – отсутствие пузырьков; б) методом с опрессовкой гелием, предел прохождения – 1,0 см3 ·Па·с -1.";;"Каталог ФГУП ""ПО Маяк""";
933;ИБН-241-8-1;"ФГУП ""ПО Маяк""";07622740;нейтронное;америций-241;Am-241;нейтронное;432,6;лет;1;10000;0,06;2;нет;;4,8E+11;10;;ИСО «/99/Е 65546»;ГОСТ Р 52241 (ИСО 2919);;;30;;24;;;;;;Двойная капсула, изготовленная из коррозионно-стойкой стали, с активной частью в виде таблетки из интерметаллического соединения диоксида америция с радионуклидом америций-241 и порошка бериллия;Радиоизотопные приборы;Поток быстрых нейтронов в телесный угол 4? ср, (2,00±0,40)·107 с-1;"Конструкции источников сертифицированы на радиоактивный материал особого вида. Контроль герметичности производится в соответствии с ГОСТ Р 51919 (ИСО 9978): а) вакуумно-пузырьковым методом, предел прохождения – отсутствие пузырьков; б) методом с опрессовкой гелием, предел прохождения – 1,0 см3 ·Па·с -1.";;"Каталог ФГУП ""ПО Маяк""";
934;ИБН-241-9-1;"ФГУП ""ПО Маяк""";07622740;нейтронное;америций-241;Am-241;нейтронное;432,6;лет;1;10000;0,06;2;нет;;1,2E+12;10;;ИСО «/99/Е 65546»;ГОСТ Р 52241 (ИСО 2919);;;33;;29;;;;;;Двойная капсула, изготовленная из коррозионно-стойкой стали, с активной частью в виде таблетки из интерметаллического соединения диоксида америция с радионуклидом америций-241 и порошка бериллия;Радиоизотопные приборы;Поток быстрых нейтронов в телесный угол 4? ср, (5,00±1,00)·107 с-1;"Конструкции источников сертифицированы на радиоактивный материал особого вида. Контроль герметичности производится в соответствии с ГОСТ Р 51919 (ИСО 9978): а) вакуумно-пузырьковым методом, предел прохождения – отсутствие пузырьков; б) методом с опрессовкой гелием, предел прохождения – 1,0 см3 ·Па·с -1.";;"Каталог ФГУП ""ПО Маяк""";
935;ИБН-241-10-1;"ФГУП ""ПО Маяк""";07622740;нейтронное;америций-241;Am-241;нейтронное;432,6;лет;1;10000;0,06;4;нет;;1920000000;10;;ИСО «/99/С 65546»;ГОСТ Р 52241 (ИСО 2919);;;10;;7,844;;;;;;Двойная капсула, изготовленная из коррозионно-стойкой стали, с активной частью в виде таблетки из интерметаллического соединения диоксида америция с радионуклидом америций-241 и порошка бериллия;Радиоизотопные приборы;Поток быстрых нейтронов в телесный угол 4? ср, (2,60±0,26)·104 с-1;"Конструкции источников сертифицированы на радиоактивный материал особого вида. Контроль герметичности производится в соответствии с ГОСТ Р 51919 (ИСО 9978): а) вакуумно-пузырьковым методом, предел прохождения – отсутствие пузырьков; б) методом с опрессовкой гелием, предел прохождения – 1,0 см3 ·Па·с -1.";;"Каталог ФГУП ""ПО Маяк""";
936;ИБН-241-10-2;"ФГУП ""ПО Маяк""";07622740;нейтронное;америций-241;Am-241;нейтронное;432,6;лет;1;10000;0,06;4;нет;;1920000000;10;;ИСО «/99/С 65546»;ГОСТ Р 52241 (ИСО 2919);;;10;;7,844;;;;;;Двойная капсула, изготовленная из коррозионно-стойкой стали, с активной частью в виде таблетки из интерметаллического соединения диоксида америция с радионуклидом америций-241 и порошка бериллия;Радиоизотопные приборы;Поток быстрых нейтронов в телесный угол 4? ср, (7,50±0,75)·104 с-1;"Конструкции источников сертифицированы на радиоактивный материал особого вида. Контроль герметичности производится в соответствии с ГОСТ Р 51919 (ИСО 9978): а) вакуумно-пузырьковым методом, предел прохождения – отсутствие пузырьков; б) методом с опрессовкой гелием, предел прохождения – 1,0 см3 ·Па·с -1.";;"Каталог ФГУП ""ПО Маяк""";
937;ИБН-241-10-3;"ФГУП ""ПО Маяк""";07622740;нейтронное;америций-241;Am-241;нейтронное;432,6;лет;1;10000;0,06;4;нет;;1920000000;10;;ИСО «/99/С 65546»;ГОСТ Р 52241 (ИСО 2919);;;10;;7,844;;;;;;Двойная капсула, изготовленная из коррозионно-стойкой стали, с активной частью в виде таблетки из интерметаллического соединения диоксида америция с радионуклидом америций-241 и порошка бериллия;Радиоизотопные приборы;Поток быстрых нейтронов в телесный угол 4? ср, (9,0±0,9)·104 с-1;"Конструкции источников сертифицированы на радиоактивный материал особого вида. Контроль герметичности производится в соответствии с ГОСТ Р 51919 (ИСО 9978): а) вакуумно-пузырьковым методом, предел прохождения – отсутствие пузырьков; б) методом с опрессовкой гелием, предел прохождения – 1,0 см3 ·Па·с -1.";;"Каталог ФГУП ""ПО Маяк""";
938;ИБН-241-11-1;"ФГУП ""ПО Маяк""";07622740;нейтронное;америций-241;Am-241;нейтронное;432,6;лет;1;10000;0,06;4;нет;;4810000000;10;;ИСО «/99/С 65546»;ГОСТ Р 52241 (ИСО 2919);;;12,8;;9,07;;;;;;Двойная капсула, изготовленная из коррозионно-стойкой стали, с активной частью в виде таблетки из интерметаллического соединения диоксида америция с радионуклидом америций-241 и порошка бериллия;Радиоизотопные приборы;Поток быстрых нейтронов в телесный угол 4? ср, (1,10±0,09)·105 с-1;"Конструкции источников сертифицированы на радиоактивный материал особого вида. Контроль герметичности производится в соответствии с ГОСТ Р 51919 (ИСО 9978): а) вакуумно-пузырьковым методом, предел прохождения – отсутствие пузырьков; б) методом с опрессовкой гелием, предел прохождения – 1,0 см3 ·Па·с -1.";;"Каталог ФГУП ""ПО Маяк""";
939;ИБН-241-11-2;"ФГУП ""ПО Маяк""";07622740;нейтронное;америций-241;Am-241;нейтронное;432,6;лет;1;10000;0,06;4;нет;;4800000000;10;;ИСО «/99/С 65546»;ГОСТ Р 52241 (ИСО 2919);;;12,8;;9,07;;;;;;Двойная капсула, изготовленная из коррозионно-стойкой стали, с активной частью в виде таблетки из интерметаллического соединения диоксида америция с радионуклидом америций-241 и порошка бериллия;Радиоизотопные приборы;Поток быстрых нейтронов в телесный угол 4? ср, (2,20±0,18)·105 с-1;"Конструкции источников сертифицированы на радиоактивный материал особого вида. Контроль герметичности производится в соответствии с ГОСТ Р 51919 (ИСО 9978): а) вакуумно-пузырьковым методом, предел прохождения – отсутствие пузырьков; б) методом с опрессовкой гелием, предел прохождения – 1,0 см3 ·Па·с -1.";;"Каталог ФГУП ""ПО Маяк""";
940;ИБН-241-12-1;"ФГУП ""ПО Маяк""";07622740;нейтронное;америций-241;Am-241;нейтронное;432,6;лет;1;10000;0,06;4;нет;;9620000000;10;;ИСО «/99/С 65546»;ГОСТ Р 52241 (ИСО 2919);;;13,2;;12,74;;;;;;Двойная капсула, изготовленная из коррозионно-стойкой стали, с активной частью в виде таблетки из интерметаллического соединения диоксида америция с радионуклидом америций-241 и порошка бериллия;Радиоизотопные приборы;Поток быстрых нейтронов в телесный угол 4? ср, (2,45±0,20)·105 с-1;"Конструкции источников сертифицированы на радиоактивный материал особого вида. Контроль герметичности производится в соответствии с ГОСТ Р 51919 (ИСО 9978): а) вакуумно-пузырьковым методом, предел прохождения – отсутствие пузырьков; б) методом с опрессовкой гелием, предел прохождения – 1,0 см3 ·Па·с -1.";;"Каталог ФГУП ""ПО Маяк""";
941;ИБН-241-12-2;"ФГУП ""ПО Маяк""";07622740;нейтронное;америций-241;Am-241;нейтронное;432,6;лет;1;10000;0,06;4;нет;;9620000000;10;;ИСО «/99/С 65546»;ГОСТ Р 52241 (ИСО 2919);;;13,2;;12,74;;;;;;Двойная капсула, изготовленная из коррозионно-стойкой стали, с активной частью в виде таблетки из интерметаллического соединения диоксида америция с радионуклидом америций-241 и порошка бериллия;Радиоизотопные приборы;Поток быстрых нейтронов в телесный угол 4? ср, (4,40±0,35)·105 с-1;"Конструкции источников сертифицированы на радиоактивный материал особого вида. Контроль герметичности производится в соответствии с ГОСТ Р 51919 (ИСО 9978): а) вакуумно-пузырьковым методом, предел прохождения – отсутствие пузырьков; б) методом с опрессовкой гелием, предел прохождения – 1,0 см3 ·Па·с -1.";;"Каталог ФГУП ""ПО Маяк""";
942;ИБН-241-13-1;"ФГУП ""ПО Маяк""";07622740;нейтронное;америций-241;Am-241;нейтронное;432,6;лет;1;10000;0,06;3;нет;;1,41E+11;10;;ИСО «/99/С 65546»;ГОСТ Р 52241 (ИСО 2919);;;31,75;;14,35;;;;;;Двойная капсула, изготовленная из коррозионно-стойкой стали, с активной частью в виде таблетки из интерметаллического соединения диоксида америция с радионуклидом америций-241 и порошка бериллия;Радиоизотопные приборы;Поток быстрых нейтронов в телесный угол 4? ср, (6,50±0,52)·106 с-1;"Конструкции источников сертифицированы на радиоактивный материал особого вида. Контроль герметичности производится в соответствии с ГОСТ Р 51919 (ИСО 9978): а) вакуумно-пузырьковым методом, предел прохождения – отсутствие пузырьков; б) методом с опрессовкой гелием, предел прохождения – 1,0 см3 ·Па·с -1.";;"Каталог ФГУП ""ПО Маяк""";
943;ИБН-241-14-1;"ФГУП ""ПО Маяк""";07622740;нейтронное;америций-241;Am-241;нейтронное;432,6;лет;1;10000;0,06;4;нет;;42900000000;10;;ИСО «/99/С 65546»;ГОСТ Р 52241 (ИСО 2919);;;19,4;;17,475;;;;;;Двойная капсула, изготовленная из коррозионно-стойкой стали, с активной частью в виде таблетки из интерметаллического соединения диоксида америция с радионуклидом америций-241 и порошка бериллия;Радиоизотопные приборы;Поток быстрых нейтронов в телесный угол 4? ср, (2,20±0,18)·103 с-1;"Конструкции источников сертифицированы на радиоактивный материал особого вида. Контроль герметичности производится в соответствии с ГОСТ Р 51919 (ИСО 9978): а) вакуумно-пузырьковым методом, предел прохождения – отсутствие пузырьков; б) методом с опрессовкой гелием, предел прохождения – 1,0 см3 ·Па·с -1.";;"Каталог ФГУП ""ПО Маяк""";
